"tag_id","tag_name","tag_type","tag_status","icon"
"1","Open Source","Licence",,"Open Source.png"
"2","Paid","Licence",,"Paid.png"
"3","Free","Licence",,"Free.png"
"4","Paid Licence","Licence",,
"5","Non Commercial Use Free","Licence",,
"6","Programming","Programming",,"Programming.png"
"7","Non-Programming","Programming",,
"8","Library","Type",,
"9","Web-Application","Type",,
"10","Desktop-Application","Type",,"Desktop-Application.png"
"11","Plugin","Type",,"Plugin.png"
"12","Web","Platform",,
"13","Windows","Platform",,"Windows.png"
"14","Linux","Platform",,"Linux.png"
"15","MacOS","Platform",,"MacOS.png"
"16","Network","Data",,
"17","Geo-Spatial","Data",,
"18","Genomic","Data",,
"19","Sets","Data",,
"20","Time-Series","Data",,
"21","Multi-Dimensional","Data",,
"22","Tabular","Data",,
"23","dynamic network","Data",,
"24","temporal","Data",,
"25","textual","Data",,
"26","node-link","Visualizations",,
"27","Map","Visualizations",,
"28","Circular-Layout","Visualizations",,
"29","Simple-Chart","Visualizations",,
"30","Diagram","Visualizations",,
"31","Line-Graph","Visualizations",,
"32","Pie-Chart","Visualizations",,
"33","Bubble-Chart","Visualizations",,
"34","Treemap","Visualizations",,
"35","3D-Plot","Visualizations",,
"36","timearcs","Visualizations",,
"37","adjacency matrix","Visualizations",,
"38","Contour-Plot","Visualizations",,
"39","Circle packing","Visualizations",,
"40","Pie chart","Visualizations",,
"41","Beeswarm-Plot","Visualizations",,
"42","Sunburst","Visualizations",,
"43","Area graph","Visualizations",,
"44","Bar-chart","Visualizations",,
"45","Dendgram","Visualizations",,
"46","Parallel Coordinates","Visualizations",,
"47","Streamgraph","Visualizations",,
"48","Boxplot","Visualizations",,
"49","Aluvial diagram","Visualizations",,
"50","Horizon graph","Visualizations",,
"51","Scatterplot","Visualizations",,
"52","Gantt chart","Visualizations",,
"53","residuals","Visualizations",,
"54","violin plot","Visualizations",,
"55","polarplot","Visualizations",,
"56","heatmap","Visualizations",,
"57","swarmplot","Visualizations",,
"58","nodelink-on-map","Visualizations",,
"59","Radar Diagram","Visualizations",,
"60","Bump Chart","Visualizations",,
"61","Pareto Chart","Visualizations",,
"62","Gauge","Visualizations",,
"63","Calender","Visualizations",,
"64","Funnel Chart","Visualizations",,
"65","Wordcloud","Visualizations",,
"66","Waterfall Chart","Visualizations",,
"67","Venndiagram","Visualizations",,
"68","Population Pyramid","Visualizations",,
"69","Stacked Chart","Visualizations",,
"70","Arc Diagram","Visualizations",,
"71","Histogram","Visualizations",,
"72","Radial Chart","Visualizations",,
"73","Tree Layout","Visualizations",,
"74","Wheat Plot","Visualizations",,
"75","Donut Chart","Visualizations",,
"76","Interactive","Interactivities",,
"77","Non-Interactive","Interactivities",,
