"name","author","link","id","description","image1","status","version"
"Arbor.js","Christian Swinehart","http://arborjs.org","31",,"http://cdn-scraplogo.pearltrees.com/46/33/46333c31484e7d9b15d39ea467aa9891-pearlsquare.jpg?v=2","Approved",
"CartoDB","Carto","https://carto.com/","32",,"http://cartodb.s3.amazonaws.com/tumblr/posts/torque2.png","Approved",
"Circos","Martin Krzywinski","http://circos.ca/","33",,"http://3.bp.blogspot.com/-yT5Tsn5bJyY/UA0xI7V8mtI/AAAAAAAAAXc/5Yp6hqzbRLU/s1600/NYT+Circos+article.jpg","Approved",
"Cubism.js","Square Inc.","http://square.github.io/cubism/","34",,"https://www.cssauthor.com/wp-content/uploads/2016/06/Cubism-js.jpg","Approved",
"Cytoscape","Cytoscape Consortium","http://www.cytoscape.org/","35",,"http://www.cytoscape.org/images/screenshots/go_dag.png","Approved",
"D3.js","Mike Bostock","https://d3js.org/","36",,"https://i.ytimg.com/vi/EvFWmHUB8X4/maxresdefault.jpg","Approved",
"Envision.js","Humble Software","http://www.humblesoftware.com/envision","37",,"http://iprodev.com/wp-content/uploads/envision.jpeg","Approved",
"Excel","Microsoft","https://products.office.com/en-us/excel","38",,"https://static.makeuseof.com/wp-content/uploads/2015/05/Excel-Databurst.png","Approved",
"Gephi","Gephi Consortium","https://gephi.org/","39",,"http://www.mkbergman.com/wp-content/themes/ai3v2/images/2011Posts/110808_geshi.png","Approved",
"gnuplot","gnuplot Team","www.gnuplot.info","40",,"https://i.ytimg.com/vi/ckCrRRBZk8E/maxresdefault.jpg","Approved",
"Google Charts","Google","https://developers.google.com/chart/","41",,"https://image.slidesharecdn.com/c4l14googleviz-140322185332-phpapp01/95/quick-easy-data-visualization-with-google-visualization-api-google-chart-libraries-1-638.jpg?cb=1395525406","Approved",
"Kartograph","Gregor Aisch","http://kartograph.org/","42",,"https://cdn.mos.cms.futurecdn.net/H8Vbyi2NqQEjEEdynKdg3d-1200-80.jpg","Approved",
"Leaflet","CloudMade","https://leafletjs.com/","43",,"http://blog.thehumangeo.com/assets/flights.png","Approved",
"NodeBox 3","Experimental Research Media Group","https://www.nodebox.net/node/","44",,"http://cdn-thumbshot.pearltrees.com/8e/5b/8e5b14ebded214a0fcfdaf44ca55686c-pearlsquare.jpg","Approved",
"Palladio","Dan Edelstein, Nicole Coleman, Ethan Jewett, Eliza Wells, Giorgio Caviglia, Mark Braude","https://hdlab.stanford.edu/palladio","45",,"https://katiefaull.files.wordpress.com/2014/04/palladio-visualization-article.jpg","Approved",
"Peity","Ben Pickles","http://benpickles.github.io/peity/","46",,"http://cdn.pearltrees.com/s/pic/th/peity-progressive-donut-charts-61374831","Approved",
"Processing","Processing Foundation","https://processing.org/","47",,"https://i.ytimg.com/vi/jw6ahmhJFIU/maxresdefault.jpg","Approved",
"R","The R Foundation","https://www.r-project.org/","48",,"https://i1.wp.com/enhancedatascience.com/wp-content/uploads/2016/10/sunburstcat.png?fit=765%2C581","Approved",
"RAWGraphs","Density Design","https://rawgraphs.io/","49",,"https://static1.squarespace.com/static/58a619711b631bcc2e3f86aa/t/58b72b2d03596e24b2db0b2c/1488399168503/?format=750w","Approved",
"Seaborn","Michael Waskom","https://seaborn.pydata.org","50",,"https://image.slidesharecdn.com/dvup-140530160251-phpapp02/95/data-visualizations-using-python-1-638.jpg?cb=1403971890","Approved",
"sigma.js","Alexis Jacomy, Guillaume Plique","http://sigmajs.org/","51",,"https://mango-is.com/img/blog/sigma.png","Approved",
"Tableau","Tableau Software","https://www.tableau.com/","52",,"https://www.field-dynamics.co.uk/wp-content/uploads/2017/03/https-2F2Fcdn.evbuc_.com2Fimages2F268496532F1959324079052F12Foriginal.png","Approved",
"Timecurves","Benjamin Bach, Conglei Shi, Nicolas Heulot, Pierre Dragicevic","http://http://timecurves.benjbach.me","53",,"https://www.researchgate.net/publication/317752902_Frontier_of_Information_Visualization_and_Visual_Analytics_in_2016/links/5a94791b45851535bcdab722/largepreview.png","Approved",
"Trifacta","Trifacta","https://www.trifacta.com/","54",,"https://lh4.googleusercontent.com/fN3k9kPbmn5jGcqdwdGF8Ck6yv_ufUTIwwu8zdg6-OYJ9HrSpZClKnt9Aw3hNoVO16pJPo3952DUci0Q6S5rtMI5Pir_mVly9pxn8_0b4VE2g0SYcvcQawreb6gfc5wtZw","Approved",
"Vega","University of Washington Interactive Data Lab","https://vega.github.io/vega/","55",,"https://image.slidesharecdn.com/toolsresourcesfordatavisualisation-150208230909-conversion-gate01/95/tools-resources-for-data-visualisation-22-638.jpg?cb=1423437671","Approved",
"Vistorian","Benjamin Bach, Jean-Daniel Fekete, Nathalie Henry Riche, Nicole Dufournaud","http://vistorian.net","56",,"https://www.microsoft.com/en-us/research/wp-content/uploads/2017/03/vistorian-300x271.png","Approved",
"ZingChart","ZingChart, Inc.","https://www.zingchart.com/","57",,"https://cdn.datafloq.com/cms/2015/05/28/zingchart.png","Approved",
